postcode,sector,easting,northing,localAuthority
YO62 4LS,YO62 4,467631.0,472825.0,Ryedale
DE2 3DA,DE2 3,434011.0,330722.0,South Derbyshire
LN5 7RW,LN5 7,497441.0,370798.0,Lincoln
CM3 1DW,CM3 1,571061.0,207179.0,Chelmsford
CH60 0WA,CH60 0,326913.0,381988.0,Wirral
WS11 8XR,WS11 8,398564.0,308532.0,Cannock Chase
NR32 2NF,NR32 2,654500.0,293700.0,East Suffolk
M24 2TS,M24 2,388320.0,405802.0,Rochdale
SO31 6BW,SO31 6,450124.0,107139.0,Fareham
CH1 1GZ,CH1 1,340737.0,366178.0,Cheshire West and Chester
RG40 3TA,RG40 3,480366.0,163625.0,Wokingham
RM1 2YA,RM1 2,550531.0,187941.0,Havering
CM14 5TE,CM14 5,556422.0,197830.0,Brentwood
SL6 3BS,SL6 3,487230.0,179676.0,Windsor and Maidenhead
RG26 9DG,RG26 9,462321.0,153521.0,Basingstoke and Deane
HU17 7AQ,HU17 7,502909.0,439930.0,East Riding of Yorkshire
RH13 7JT,RH13 7,515772.0,129162.0,Horsham
NW11 7XG,NW11 7,524968.0,188785.0,Barnet
PO3 5QP,PO3 5,466853.0,102850.0,Portsmouth
TF9 9DY,TF9 9,367497.0,334321.0,Shropshire
CV10 7AU,CV10 7,436180.0,289947.0,Nuneaton and Bedworth
IG10 2QH,IG10 2,543181.0,197561.0,Epping Forest
CM7 9AU,CM7 9,576095.0,224164.0,Braintree
WA4 1JE,WA4 1,362230.0,387327.0,Warrington
BN1 6QB,BN1 6,530647.0,106685.0,Brighton and Hove
AL1 5FW,AL1 5,517011.0,206639.0,St Albans
CM5 0BE,CM5 0,554737.0,203975.0,Epping Forest
W12 0EB,W12 0,523006.0,181208.0,Hammersmith and Fulham
LE9 7BB,LE9 7,446910.0,297870.0,Hinckley and Bosworth
HD4 6TJ,HD4 6,416625.0,414483.0,Kirklees
LA1 3JJ,LA1 3,349329.0,460613.0,Lancaster
SS16 5SU,SS16 5,569400.0,187700.0,Basildon
DL1 5GU,DL1 5,429177.0,514182.0,Darlington
NE67 5DZ,NE67 5,417848.0,622389.0,Northumberland
CB1 0NY,CB1 0,546182.0,257043.0,Cambridge
NW3 9XQ,NW3 9,526702.0,185514.0,Camden
HU8 9HE,HU8 9,513459.0,432489.0,"Kingston upon Hull, City of"
PE29 1HY,PE29 1,524008.0,272098.0,Huntingdonshire
ME10 2LE,ME10 2,590079.0,164254.0,Swale
RG26 5YZ,RG26 5,466800.0,158700.0,Basingstoke and Deane
EC3N 3AN,EC3N 3,533459.0,180959.0,City of London
CA11 9DY,CA11 9,350905.0,530053.0,Eden
E11 1PD,E11 1,540419.0,189272.0,Redbridge
WA11 8ER,WA11 8,348270.0,400288.0,St. Helens
RG45 7PN,RG45 7,483798.0,163204.0,Bracknell Forest
NE6 3DZ,NE6 3,429263.0,564026.0,Newcastle upon Tyne
M23 2XB,M23 2,381265.0,387255.0,Manchester
PE1 4QS,PE1 4,519370.0,300642.0,Peterborough
TR14 8US,TR14 8,164797.0,39742.0,Cornwall
PE19 5GH,PE19 5,521843.0,265780.0,Huntingdonshire
TN37 7TT,TN37 7,578831.0,112681.0,Hastings
NN7 4BQ,NN7 4,469963.0,259537.0,West Northamptonshire
YO1 4QJ,YO1 4,461436.0,448534.0,York
WS13 7SB,WS13 7,412256.0,311370.0,Lichfield
LN11 9LA,LN11 9,532585.0,387129.0,East Lindsey
GU13 8HG,GU13 8,479563.0,154178.0,Hart
SE15 6DN,SE15 6,533376.0,177221.0,Southwark
HP1 1UR,HP1 1,504864.0,206845.0,Dacorum
NN16 6GZ,NN16 6,499524.0,278638.0,North Northamptonshire
N14 4ER,N14 4,529306.0,195823.0,Enfield
SO40 8RX,SO40 8,435116.0,113212.0,New Forest
SW1V 1YD,SW1V 1,529046.0,179013.0,Westminster
CA8 7NE,CA8 7,365178.0,559862.0,Northumberland
W9 3PE,W9 3,524963.0,182245.0,Westminster
BR2 9PZ,BR2 9,542051.0,167743.0,Bromley
WD19 4YZ,WD19 4,509240.0,195710.0,Watford
WR11 1AT,WR11 1,404413.0,243535.0,Wychavon
GU11 4DQ,GU11 4,486023.0,151556.0,Rushmoor
CV22 5BA,CV22 5,451969.0,274220.0,Rugby
DY5 4JF,DY5 4,391658.0,289252.0,Dudley
LS14 1LS,LS14 1,434508.0,436657.0,Leeds
L2 9TA,L2 9,334282.0,390369.0,Liverpool
SW17 7FS,SW17 7,527625.0,171548.0,Wandsworth
N15 4UU,N15 4,533787.0,189340.0,Haringey
MK40 2UD,MK40 2,504655.0,250419.0,Bedford
OX16 6FQ,OX16 6,446207.0,240563.0,Cherwell
NG19 9PW,NG19 9,455259.0,363634.0,Mansfield
BS40 9YG,BS40 9,352657.0,165432.0,North Somerset
NW2 9DT,NW2 9,523943.0,186325.0,Barnet
PO2 7LE,PO2 7,465848.0,101923.0,Portsmouth
CV6 6ND,CV6 6,434300.0,282800.0,Coventry
TQ14 9YE,TQ14 9,294117.0,72841.0,Teignbridge
BL8 3HA,BL8 3,377763.0,412771.0,Bury
CR5 2FG,CR5 2,529967.0,159683.0,Croydon
IP1 2WG,IP1 2,615845.0,244058.0,Ipswich
L4 1XZ,L4 1,334913.0,393402.0,Liverpool
B73 5JT,B73 5,411339.0,292999.0,Birmingham
BN2 4QW,BN2 4,531040.0,104624.0,Brighton and Hove
PO37 6AA,PO37 6,458216.0,81145.0,Isle of Wight
S25 2QA,S25 2,453496.0,386352.0,Rotherham
BH9 1JR,BH9 1,408720.0,93649.0,"Bournemouth, Christchurch and Poole"
PO18 8SA,PO18 8,477595.0,105298.0,Chichester
BB11 9AX,BB11 9,384228.0,432762.0,Burnley
SG4 7TJ,SG4 7,521581.0,227594.0,North Hertfordshire
CM21 0LE,CM21 0,545240.0,216094.0,East Hertfordshire
MK14 5WN,MK14 5,480418.0,239446.0,Milton Keynes
TA12 6FW,TA12 6,345991.0,119992.0,South Somerset
M33 5EE,M33 5,377118.0,391906.0,Trafford
L7 2QP,L7 2,336887.0,390575.0,Liverpool
MK43 0AT,MK43 0,496185.0,245129.0,Central Bedfordshire
CV36 4NY,CV36 4,425568.0,243627.0,Stratford-on-Avon
NE48 2ED,NE48 2,384335.0,583446.0,Northumberland
TA21 0JB,TA21 0,303724.0,121077.0,Somerset West and Taunton
NG32 3ND,NG32 3,500424.0,338972.0,South Kesteven
PR4 6EP,PR4 6,344306.0,422351.0,West Lancashire
FY5 3JB,FY5 3,332515.0,441215.0,Blackpool
OX1 4DW,OX1 4,452020.0,206143.0,Oxford
TQ12 3NW,TQ12 3,286991.0,74625.0,Teignbridge
LE5 6LR,LE5 6,463507.0,303332.0,Leicester
SR5 5DF,SR5 5,436422.0,559290.0,Sunderland
NN1 2AX,NN1 2,475174.0,260533.0,West Northamptonshire
RM8 1WA,RM8 1,548598.0,186019.0,Barking and Dagenham
HA5 4LB,HA5 4,512930.0,191267.0,Harrow
SE3 8TF,SE3 8,540700.0,177400.0,Greenwich
NR17 2HQ,NR17 2,604150.0,294315.0,Breckland
W2 1FJ,W2 1,526711.0,181295.0,Westminster
CH65 9HD,CH65 9,340992.0,374555.0,Cheshire West and Chester
GL20 9AR,GL20 9,391507.0,233879.0,Tewkesbury
WR4 0LN,WR4 0,388141.0,255061.0,Worcester
SO31 6RU,SO31 6,451946.0,107011.0,Fareham
GL12 8YB,GL12 8,375751.0,193264.0,Stroud
AL8 6LA,AL8 6,522959.0,212549.0,Welwyn Hatfield
NR1 1LN,NR1 1,623518.0,308648.0,Norwich
W1X 0JH,W1X 0,528800.0,180800.0,Westminster
LS6 1BA,LS6 1,428465.0,435336.0,Leeds
SE16 5WH,SE16 5,533378.0,178838.0,Southwark
M13 9FR,M13 9,385736.0,396509.0,Manchester
DT1 2BX,DT1 2,369464.0,89808.0,Dorset
RM3 0XG,RM3 0,554023.0,190676.0,Havering
SG4 0FJ,SG4 0,520200.0,229200.0,North Hertfordshire
GU24 9PJ,GU24 9,494553.0,160876.0,Surrey Heath
HR4 8AA,HR4 8,350502.0,243456.0,"Herefordshire, County of"
AL8 7AN,AL8 7,524245.0,214371.0,Welwyn Hatfield
DL7 8JG,DL7 8,435761.0,493266.0,Hambleton
B91 2PP,B91 2,416205.0,280459.0,Solihull
CA2 6RP,CA2 6,338135.0,555001.0,Carlisle
SG9 9PY,SG9 9,531614.0,229547.0,East Hertfordshire
MK11 9FS,MK11 9,480418.0,239446.0,Milton Keynes
HU3 3DY,HU3 3,508200.0,427600.0,"Kingston upon Hull, City of"
S63 6BB,S63 6,441726.0,401176.0,Rotherham
IP12 4TS,IP12 4,624296.0,246380.0,East Suffolk
SO14 3PG,SO14 3,442485.0,111131.0,Southampton
SO16 7ZH,SO16 7,441495.0,116181.0,Southampton
SR8 5HS,SR8 5,442764.0,541109.0,County Durham
TA10 0LF,TA10 0,340550.0,125104.0,South Somerset
SK8 7DX,SK8 7,388121.0,385674.0,Stockport
CO2 8NJ,CO2 8,599957.0,222649.0,Colchester
SK10 4UJ,SK10 4,382386.0,376627.0,Cheshire East
SO51 9LG,SO51 9,436018.0,117812.0,Test Valley
DH1 5YZ,DH1 5,427279.0,544923.0,County Durham
YO51 9YR,YO51 9,439564.0,466901.0,Harrogate
NN11 0GF,NN11 0,457535.0,264582.0,West Northamptonshire
DT2 7FR,DT2 7,370296.0,91593.0,Dorset
CB4 6EU,CB4 6,547273.0,262831.0,South Cambridgeshire
UB10 0HA,UB10 0,507200.0,183100.0,Hillingdon
NE45 5DR,NE45 5,399187.0,564564.0,Northumberland
SK16 5JR,SK16 5,394609.0,396553.0,Tameside
BS34 9EP,BS34 9,360519.0,181775.0,South Gloucestershire
FY5 3RJ,FY5 3,332317.0,441683.0,Blackpool
HA7 4GU,HA7 4,518142.0,190895.0,Harrow
WS1 3QU,WS1 3,400884.0,298109.0,Walsall
RM10 7TB,RM10 7,550273.0,185507.0,Barking and Dagenham
WV10 0HX,WV10 0,392952.0,299341.0,Wolverhampton
BS30 8BZ,BS30 8,366666.0,172392.0,South Gloucestershire
SO4 6YU,SO4 6,442404.0,107940.0,New Forest
AL3 4GL,AL3 4,513475.0,206241.0,St Albans
ST5 1ZX,ST5 1,384987.0,346103.0,Newcastle-under-Lyme
PO20 1ZF,PO20 1,485922.0,104179.0,Chichester
HP12 9FB,HP12 9,485220.0,192198.0,Buckinghamshire
BA14 9JF,BA14 9,383963.0,156823.0,Wiltshire
GL50 1JQ,GL50 1,394900.0,222300.0,Cheltenham
BB4 6TR,BB4 6,379203.0,422248.0,Rossendale
UB3 9DN,UB3 9,510140.0,179496.0,Hillingdon
OL8 4DL,OL8 4,391745.0,403595.0,Oldham
SE28 8BL,SE28 8,546923.0,180537.0,Greenwich
OL15 0LW,OL15 0,394664.0,417443.0,Rochdale
DT4 7LB,DT4 7,367825.0,80656.0,Dorset
BN24 5JD,BN24 5,563507.0,104622.0,Wealden
BA5 1UH,BA5 1,354727.0,145303.0,Mendip
EN5 5RF,EN5 5,526643.0,195410.0,Barnet
OX16 0AT,OX16 0,444424.0,240453.0,Cherwell
CO1 2XQ,CO1 2,601700.0,224800.0,Colchester
M60 2LA,M60 2,385021.0,398985.0,Manchester
SO4 8ND,SO4 8,431400.0,98100.0,New Forest
EX20 4ER,EX20 4,251733.0,89301.0,West Devon
ST17 0BT,ST17 0,394667.0,322213.0,Stafford
B67 6QS,B67 6,401308.0,287402.0,Sandwell
BS41 8LT,BS41 8,355100.0,166313.0,North Somerset
GL17 9NH,GL17 9,360200.0,215900.0,Forest of Dean
DH3 3JU,DH3 3,427349.0,550444.0,County Durham
SW19 9PE,SW19 9,524334.0,170172.0,Merton
TF2 7SB,TF2 7,370846.0,313194.0,Telford and Wrekin
L3 5QR,L3 5,335562.0,390524.0,Liverpool
BN11 9SX,BN11 9,514862.0,102884.0,Worthing
SK10 4RY,SK10 4,386998.0,375415.0,Cheshire East
E7 9AU,E7 9,539895.0,184844.0,Newham
LS5 3QB,LS5 3,425355.0,437489.0,Leeds
CR4 1AG,CR4 1,529028.0,169525.0,Merton
PE8 5EX,PE8 5,504631.0,288165.0,North Northamptonshire
TA4 4RN,TA4 4,308843.0,141600.0,Somerset West and Taunton
BH11 8LN,BH11 8,405654.0,95184.0,"Bournemouth, Christchurch and Poole"
L2 2HD,L2 2,334309.0,390566.0,Liverpool
HD7 3LJ,HD7 3,409175.0,410894.0,Kirklees
LA14 2NH,LA14 2,319487.0,469270.0,Barrow-in-Furness
GL1 5QU,GL1 5,382212.0,216561.0,Gloucester
TS21 3BT,TS21 3,435524.0,529026.0,County Durham
L48 5DL,L48 5,321200.0,387700.0,Wirral
S80 4HZ,S80 4,451590.0,374143.0,Bolsover
BB2 6RE,BB2 6,364034.0,426919.0,Blackburn with Darwen
IP22 1YQ,IP22 1,611730.0,279952.0,South Norfolk
SE23 3HW,SE23 3,535372.0,172786.0,Lewisham
B19 1DS,B19 1,405894.0,288732.0,Birmingham
LS27 7FE,LS27 7,424389.0,428305.0,Leeds
EC88 1BR,EC88 1,533221.0,182597.0,Hackney
NE30 1NT,NE30 1,435652.0,568330.0,North Tyneside
LS17 1AD,LS17 1,430772.0,439564.0,Leeds
W1F 9PB,W1F 9,529308.0,180939.0,Westminster
RH2 8BQ,RH2 8,525616.0,149306.0,Reigate and Banstead
TQ13 8DW,TQ13 8,270186.0,87735.0,West Devon
PE27 9DP,PE27 9,531327.0,271221.0,Huntingdonshire
WA4 2JQ,WA4 2,365024.0,387330.0,Warrington
NE61 3DF,NE61 3,418932.0,590218.0,Northumberland
BB10 4RH,BB10 4,387356.0,430210.0,Burnley
DL16 7JJ,DL16 7,426003.0,531319.0,County Durham
M28 3LH,M28 3,373894.0,403278.0,Salford
CM7 4EP,CM7 4,572815.0,232597.0,Braintree
GU17 0SD,GU17 0,483320.0,160534.0,Hart
YO6 5BS,YO6 5,461309.0,483832.0,Ryedale
NE25 0AR,NE25 0,430776.0,575435.0,Northumberland
PR6 7ET,PR6 7,357348.0,423216.0,Chorley
SY5 0EE,SY5 0,333032.0,301083.0,Shropshire
N22 4TJ,N22 4,530731.0,190575.0,Haringey
LE8 6WB,LE8 6,456246.0,296180.0,Blaby
CO12 4FU,CO12 4,624004.0,231223.0,Tendring
BN17 7QG,BN17 7,502524.0,104823.0,Arun
NE43 7DJ,NE43 7,407300.0,562200.0,Northumberland
LS14 6TF,LS14 6,434686.0,435330.0,Leeds
B31 1HH,B31 1,401490.0,280791.0,Birmingham
PO30 9GT,PO30 9,449898.0,89944.0,Isle of Wight
SN10 2QU,SN10 2,399733.0,161831.0,Wiltshire
OL12 8QR,OL12 8,388300.0,417800.0,Rossendale
DY4 7NN,DY4 7,397196.0,292679.0,Sandwell
EN9 2BF,EN9 2,538881.0,207092.0,Epping Forest
SO31 6EE,SO31 6,450379.0,107337.0,Fareham
B74 3HX,B74 3,408088.0,298147.0,Walsall
ST7 1QR,ST7 1,383144.0,352531.0,Newcastle-under-Lyme
PR25 4GT,PR25 4,355091.0,423902.0,South Ribble
BS17 6HZ,BS17 6,372107.0,181938.0,South Gloucestershire
SW8 4WJ,SW8 4,529940.0,176846.0,Lambeth
SM2 5NN,SM2 5,525739.0,162103.0,Sutton
SW6 7AP,SW6 7,524808.0,177068.0,Hammersmith and Fulham
AL8 6HH,AL8 6,523488.0,212739.0,Welwyn Hatfield
OL8 4LQ,OL8 4,391400.0,403400.0,Oldham
SO40 8JE,SO40 8,434019.0,113733.0,New Forest
E1 4LW,E1 4,535500.0,182000.0,Tower Hamlets
TN32 5QN,TN32 5,578603.0,122552.0,Rother
BD1 9JL,BD1 9,416176.0,434018.0,Bradford
WD1 5AL,WD1 5,512463.0,194012.0,Three Rivers
BS49 4HP,BS49 4,343231.0,165144.0,North Somerset
SO18 5GS,SO18 5,446241.0,113719.0,Southampton
DE7 5QQ,DE7 5,446539.0,341469.0,Erewash
SN10 2GP,SN10 2,402908.0,163062.0,Wiltshire
BH14 0JN,BH14 0,403061.0,91500.0,"Bournemouth, Christchurch and Poole"
BS16 1XB,BS16 1,362153.0,175988.0,"Bristol, City of"
UB5 5AU,UB5 5,511799.0,183297.0,Ealing
IP1 2PA,IP1 2,615325.0,245367.0,Ipswich
WN2 5DZ,WN2 5,359892.0,402661.0,Wigan
CV34 5DY,CV34 5,427626.0,265760.0,Warwick
M27 8XB,M27 8,379469.0,400907.0,Salford
SM1 9BZ,SM1 9,525907.0,163866.0,Sutton
KT21 2JY,KT21 2,517669.0,157596.0,Mole Valley
WA6 9EF,WA6 9,351656.0,371709.0,Cheshire West and Chester
WR14 1LT,WR14 1,378101.0,247928.0,Malvern Hills
SE1 1AG,SE1 1,533378.0,178838.0,Southwark
NG2 5XZ,NG2 5,458183.0,338985.0,Nottingham
LU6 3TE,LU6 3,502391.0,221277.0,Central Bedfordshire
NR31 0PG,NR31 0,652438.0,305253.0,Great Yarmouth
NW1 4BA,NW1 4,528897.0,182947.0,Camden
OX10 6LY,OX10 6,461606.0,191889.0,South Oxfordshire
LA22 0DQ,LA22 0,337643.0,503918.0,South Lakeland
YO23 7BR,YO23 7,455342.0,442547.0,Selby
LS28 6YF,LS28 6,422159.0,433314.0,Leeds
HA2 7LN,HA2 7,513223.0,188166.0,Harrow
BS37 6FY,BS37 6,373130.0,182817.0,South Gloucestershire
EX17 3QB,EX17 3,282185.0,97602.0,Mid Devon
LS13 2JW,LS13 2,425266.0,435483.0,Leeds
L36 9FP,L36 9,344360.0,391010.0,Knowsley
M25 9AB,M25 9,381788.0,402384.0,Bury
CW3 9NL,CW3 9,377197.0,344524.0,Newcastle-under-Lyme
SE17 3BH,SE17 3,532077.0,178332.0,Southwark
CV1 2BH,CV1 2,434423.0,278682.0,Coventry
CO4 9WQ,CO4 9,600548.0,228682.0,Colchester
TS14 6DS,TS14 6,461286.0,515924.0,Redcar and Cleveland
W1A 6WN,W1A 6,529554.0,181451.0,Westminster
KT10 0JP,KT10 0,515760.0,163473.0,Elmbridge
L65 9BW,L65 9,340000.0,374500.0,Cheshire West and Chester
GL7 3LE,GL7 3,424634.0,202721.0,West Oxfordshire
HG1 4PG,HG1 4,431404.0,456372.0,Harrogate
NR12 7DU,NR12 7,627441.0,319837.0,Broadland
NR26 8AN,NR26 8,615596.0,342397.0,North Norfolk
N15 4AB,N15 4,532713.0,189379.0,Haringey
TQ1 4RS,TQ1 4,291547.0,66330.0,Torbay
M35 7RG,M35 7,389540.0,399283.0,Tameside
EN5 2RU,EN5 2,523724.0,195828.0,Barnet
TQ5 8WX,TQ5 8,292285.0,56061.0,Torbay
N8 8EJ,N8 8,529731.0,188159.0,Haringey
CA5 2PG,CA5 2,311188.0,541667.0,Allerdale
DA17 6WN,DA17 6,549223.0,179029.0,Bexley
HP1 9AN,HP1 9,505728.0,206630.0,Dacorum
CM3 5DU,CM3 5,581128.0,197080.0,Chelmsford
TA9 4QD,TA9 4,336315.0,147582.0,Sedgemoor
E17 8YW,E17 8,537412.0,189266.0,Waltham Forest
BA3 1DN,BA3 1,368643.0,159138.0,Bath and North East Somerset
B20 2SP,B20 2,405558.0,290580.0,Birmingham
DL5 7YG,DL5 7,427863.0,524015.0,County Durham
TR10 8NB,TR10 8,177893.0,33772.0,Cornwall
SK23 7PE,SK23 7,401010.0,382848.0,High Peak
HR4 0SJ,HR4 0,347293.0,241395.0,"Herefordshire, County of"
TN12 5AG,TN12 5,566860.0,148651.0,Tonbridge and Malling
SP11 6TJ,SP11 6,438781.0,145212.0,Test Valley
PO2 0NH,PO2 0,465268.0,102448.0,Portsmouth
DA9 9RT,DA9 9,558244.0,174503.0,Dartford
B16 9LS,B16 9,403605.0,286057.0,Birmingham
EX16 6AR,EX16 6,295725.0,113084.0,Mid Devon
PR8 1NT,PR8 1,333549.0,417382.0,Sefton
NE30 2PX,NE30 2,436220.0,569757.0,North Tyneside
EX35 6WB,EX35 6,271808.0,149437.0,North Devon
UB6 0DQ,UB6 0,514909.0,184752.0,Ealing
LS27 1FE,LS27 1,426526.0,427540.0,Leeds
WR14 1SQ,WR14 1,377451.0,247525.0,Malvern Hills
SL4 9DF,SL4 9,496593.0,176716.0,Windsor and Maidenhead
